dimension,n_peers,pier_score,is_redundant,ratio_N_d
10,2,1.3483625843643967,0,0.2
10,2,1.0992068663553785,0,0.2
10,2,0.9654695178663781,0,0.2
10,2,1.0605153350919552,0,0.2
10,2,1.2251215648036633,0,0.2
10,2,1.1646415629212983,0,0.2
10,2,0.904234297473714,0,0.2
10,2,0.7388333037917629,0,0.2
10,2,1.2062825065645366,0,0.2
10,2,1.2847701601519688,0,0.2
10,2,0.9771196310720638,0,0.2
10,2,0.9877331995342361,0,0.2
10,2,1.3657758733536907,0,0.2
10,2,1.2390692871441114,0,0.2
10,2,1.3838013722123048,0,0.2
10,2,0.9647432531527624,0,0.2
10,2,1.3906008696803192,0,0.2
10,2,1.1745452821582398,0,0.2
10,2,1.0627493049293966,0,0.2
10,2,0.44462192939571243,0,0.2
10,2,1.1872258730571565,0,0.2
10,2,1.3486815786022615,0,0.2
10,2,1.1647081911214878,0,0.2
10,2,1.3220447933193498,0,0.2
10,2,1.4401166785353152,0,0.2
10,2,1.0929243922938607,0,0.2
10,2,0.8824320497256986,0,0.2
10,2,1.0675462197389964,0,0.2
10,2,1.3539641021076918,0,0.2
10,2,1.2363932453386361,0,0.2
10,2,1.394374254727335,0,0.2
10,2,1.4724946795303653,0,0.2
10,2,0.8696146272692611,0,0.2
10,2,1.3294352253353607,0,0.2
10,2,0.9861335743366315,0,0.2
10,2,1.563444695428884,0,0.2
10,2,1.0664659164113754,0,0.2
10,2,1.156575612368864,0,0.2
10,2,0.7809328738908843,0,0.2
10,2,1.0746265998535367,0,0.2
10,2,1.1920823035428079,0,0.2
10,2,0.6706341381783263,0,0.2
10,2,1.2398101536407558,0,0.2
10,2,0.9747607063008533,0,0.2
10,2,1.1874558668403252,0,0.2
10,2,1.3178474594357452,0,0.2
10,2,1.2766482049729306,0,0.2
10,2,1.2046509806647643,0,0.2
10,2,0.923119071201605,0,0.2
10,2,1.1874829976034527,0,0.2
10,2,1.1438276274076904,0,0.2
10,2,1.3771268258351588,0,0.2
10,2,1.4187706509765725,0,0.2
10,2,1.1577267450088111,0,0.2
10,2,1.4146653274351455,0,0.2
10,2,0.8157569205315695,0,0.2
10,2,1.4325905687107088,0,0.2
10,2,1.205306698997104,0,0.2
10,2,1.3142870923710077,0,0.2
10,2,1.25857774828415,0,0.2
10,2,1.2106064951474367,0,0.2
10,2,0.8811163073706546,0,0.2
